Year,Heart Disease,Cancer,Unnamed: 3_level_0,Unnamed: 4_level_0,type
"Rate Per 100,000",% of Total Deaths,"Rate Per 100,000",% of Total Deaths,Unnamed: 4_level_1,
1975,2734.9,44,995.2,18,Both
1976,2747.4,44,1018.3,18,Both
1977,2656.3,44,1023.3,19,Both
1978,2643.2,44,1035.4,19,Both
1979,2595.8,45,1042.7,19,Both
1980,2652.4,44,1059.1,19,Both
1981,2568.9,44,1060.7,20,Both
1982,2524.7,44,1074.6,20,Both
1983,2532.4,44,1083.5,20,Both
1984,2468.6,43,1093.0,20,Both
1985,2449.2,42,1097.2,20,Both
1986,2389.6,42,1107.5,21,Both
1987,2333.4,41,1111.8,21,Both
1988,2321.1,40,1120.3,21,Both
1989,2184.9,39,1139.1,22,Both
1990,2102.7,39,1147.4,22,Both
1991,2054.6,38,1154.0,23,Both
1992,1995.9,38,1153.7,23,Both
1993,2027.9,37,1161.8,22,Both
1994,1954.3,37,1157.0,23,Both
1995,1927.5,36,1153.6,22,Both
1996,1878.5,36,1142.2,22,Both
1997,1828.4,35,1128.5,22,Both
1998,1791.7,35,1119.6,22,Both
1999,1766.3,34,1125.9,22,Both
2000,1698.3,33,1119.8,22,Both
2001,1648.2,32,1104.4,22,Both
2002,1611.1,32,1097.2,22,Both
2003,1551.7,31,1079.7,22,Both
2004,1449.7,30,1060.8,22,Both
2005,1415.4,30,1053.2,22,Both
2006,1333.7,29,1036.1,22,Both
2007,1268.7,28,1025.1,22,Both
2008,1240.5,28,1009.5,22,Both
2009,1174.6,27,989.8,22,Both
2010,1143.5,27,984.0,22,Both
2011,1113.8,26,965.9,22,Both
2012,1088.5,26,950.0,22,Both
2013,1085.3,26,932.2,21,Both
2014,1063.0,25,920.3,22,Both
2015,1075.3,25,907.0,21,Both
2016,1050.9,25,890.3,21,Both
