name,rank,score,cities,websites,num_rank,num_score,city_name,state,zipcode,LATITUDE,LONGITUDE
University of Texas MD Anderson Cancer Center,#1 in Adult Cancer Hospitals,100.0/100,"Houston, TX 77030-4000",https://health.usnews.com/best-hospitals/area/tx/university-of-texas-md-anderson-cancer-center-6741945,1,100,Houston,TX,77030-4000,29.70793328,-95.39571422
Memorial Sloan-Kettering Cancer Center,#2 in Adult Cancer Hospitals,97.4/100,"New York, NY 10065-6007",https://health.usnews.com/best-hospitals/area/ny/memorial-sloan-kettering-cancer-center-6213060,2,97.4,New York,NY,10065-6007,40.76544998,-73.95463472
Mayo Clinic,#3 in Adult Cancer Hospitals,95.3/100,"Rochester, MN 55902-1906",https://health.usnews.com/best-hospitals/area/mn/mayo-clinic-6610451,3,95.3,Rochester,MN,55902-1906,30.26543868,-81.43960172
Dana-Farber/Brigham and Women's Cancer Center,#4 in Adult Cancer Hospitals,83.0/100,"Boston, MA 02215",https://health.usnews.com/best-hospitals/area/ma/dana-farber-cancer-institute-6140583,4,83,Boston,MA,2215,42.33880048,-71.10683082
Cleveland Clinic,#5 in Adult Cancer Hospitals,80.9/100,"Cleveland, OH 44195-5108",https://health.usnews.com/best-hospitals/area/oh/cleveland-clinic-6410670,5,80.9,Cleveland,OH,44195-5108,41.50400198,-81.61963102
Johns Hopkins Hospital,#6 in Adult Cancer Hospitals,80.3/100,"Baltimore, MD 21287-2182",https://health.usnews.com/best-hospitals/area/md/johns-hopkins-hospital-6320180,6,80.3,Baltimore,MD,21287-2182,39.29808748,-76.59138722
Seattle Cancer Alliance/University of Washington Medical Center,#7 in Adult Cancer Hospitals,78.5/100,"Seattle, WA 98109-4405",https://health.usnews.com/best-hospitals/area/wa/seattle-cancer-care-alliance-6910011,7,78.5,Seattle,WA,98109-4405,47.71412028,-122.335321
H. Lee Moffitt Cancer Center and Research Institute,#8 in Adult Cancer Hospitals,76.6/100,"Tampa, FL 33612-9497",https://health.usnews.com/best-hospitals/area/fl/moffitt-cancer-center-6391069,8,76.6,Tampa,FL,33612-9497,28.06544668,-82.41976582
UCSF Medical Center,#8 in Adult Cancer Hospitals,76.6/100,"San Francisco, CA 94143-0296",https://health.usnews.com/best-hospitals/area/ca/ucsf-medical-center-6930043,8,76.6,San Francisco,CA,94143-0296,37.76440018,-122.4564604
Hospitals of the University of Pennsylvania-Penn Presbyterian,#10 in Adult Cancer Hospitals,75.8/100,"Philadelphia, PA 19104-4206",https://health.usnews.com/best-hospitals/area/pa/hospital-of-the-university-of-pennsylvania-6231900,10,75.8,Philadelphia,PA,19104-4206,39.95968188,-75.19777092
